TYPE,ADRESSE,ARRONDISSEMENT,HORAIRE,geo_shape,geo
SANISETTE,76  RUE BRANCION,PARIS 15EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3027334854194716, 48.831929561343095]], ""type"": ""MultiPoint""}","48.831929561343095, 2.3027334854194716"
SANISETTE,83  RUE DESNOUETTES,PARIS 15EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.284141147850317, 48.83462852331888]], ""type"": ""MultiPoint""}","48.83462852331888, 2.284141147850317"
SANISETTE,364  RUE LECOURBE,PARIS 15EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.2816918169238023, 48.836240943584]], ""type"": ""MultiPoint""}","48.836240943584, 2.2816918169238023"
SANISETTE,face au 1 AVENUE EMILE ET ARMAND MASSARD,PARIS 17EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.2975700464693, 48.88888267432094]], ""type"": ""MultiPoint""}","48.88888267432094, 2.2975700464693"
SANISETTE,6  RUE DE PANAMA,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3527514783672197, 48.8876267763751]], ""type"": ""MultiPoint""}","48.8876267763751, 2.3527514783672197"
SANISETTE,opposé au 35 RUE BOINOD,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3517628650661626, 48.89413005564073]], ""type"": ""MultiPoint""}","48.89413005564073, 2.3517628650661626"
SANISETTE,69  AVENUE DE FLANDRE,PARIS 19EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3739240719106323, 48.88869536274599]], ""type"": ""MultiPoint""}","48.88869536274599, 2.3739240719106323"
SANISETTE,9  AVENUE DE LA PORTE DE LA VILLETTE,PARIS 19EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3867747839866085, 48.89897483997506]], ""type"": ""MultiPoint""}","48.89897483997506, 2.3867747839866085"
SANISETTE,64  RUE DU VOLGA,PARIS 20EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.408988707402609, 48.85271966367164]], ""type"": ""MultiPoint""}","48.85271966367164, 2.408988707402609"
SANISETTE,RUE COQUILLIERE,PARIS 1EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.342472298693307, 48.86354740097733]], ""type"": ""MultiPoint""}","48.86354740097733, 2.342472298693307"
SANISETTE,2  RUE DES QUATRE FILS,PARIS 3EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3607006873977197, 48.86005986602799]], ""type"": ""MultiPoint""}","48.86005986602799, 2.3607006873977197"
SANISETTE,79  BOULEVARD DU TEMPLE,PARIS 3EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3663055271101103, 48.86355463067632]], ""type"": ""MultiPoint""}","48.86355463067632, 2.3663055271101103"
SANISETTE,115  RUE SAINT MARTIN,PARIS 4EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3511711256542727, 48.860523841578605]], ""type"": ""MultiPoint""}","48.860523841578605, 2.3511711256542727"
SANISETTE,26  RUE BUFFON,PARIS 5EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3562246831176674, 48.84130804975426]], ""type"": ""MultiPoint""}","48.84130804975426, 2.3562246831176674"
SANISETTE,17  RUE DU FOUR,PARIS 6EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.334590272454293, 48.852721986820754]], ""type"": ""MultiPoint""}","48.852721986820754, 2.334590272454293"
SANISETTE,25  BOULEVARD DE LA VILLETTE,PARIS 10EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.375281769902471, 48.87348074198407]], ""type"": ""MultiPoint""}","48.87348074198407, 2.375281769902471"
SANISETTE,RUE DU FAUBOURG SAINT MARTIN,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3604635760802273, 48.875749513351394]], ""type"": ""MultiPoint""}","48.875749513351394, 2.3604635760802273"
SANISETTE,164  BOULEVARD VOLTAIRE,PARIS 11EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3835533972531318, 48.855643765234234]], ""type"": ""MultiPoint""}","48.855643765234234, 2.3835533972531318"
SANISETTE,179  AVENUE DAUMESNIL,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3920403748751715, 48.84052542867198]], ""type"": ""MultiPoint""}","48.84052542867198, 2.3920403748751715"
SANISETTE,259 bis AVENUE DAUMESNIL,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.4043941454836406, 48.836513686222645]], ""type"": ""MultiPoint""}","48.836513686222645, 2.4043941454836406"
SANISETTE,27  AVENUE D IVRY,PARIS 13EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.366856434532836, 48.82266348081884]], ""type"": ""MultiPoint""}","48.82266348081884, 2.366856434532836"
SANISETTE,5  BOULEVARD KELLERMANN,PARIS 13EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3575912185485546, 48.81897694760632]], ""type"": ""MultiPoint""}","48.81897694760632, 2.3575912185485546"
SANISETTE,RUE DES MARINIERS,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3111981116311844, 48.827608205263566]], ""type"": ""MultiPoint""}","48.827608205263566, 2.3111981116311844"
SANISETTE,face au 18 AVENUE DU GENERAL LECLERC,PARIS 14EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.330940750030439, 48.832342450203996]], ""type"": ""MultiPoint""}","48.832342450203996, 2.330940750030439"
SANISETTE,18  AVENUE DE LA PORTE DE VANVES,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.304138725656121, 48.825507784271004]], ""type"": ""MultiPoint""}","48.825507784271004, 2.304138725656121"
SANISETTE,70  BOULEVARD JOURDAN,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3288565134356696, 48.82262985130541]], ""type"": ""MultiPoint""}","48.82262985130541, 2.3288565134356696"
TOILETTES,COULEE VERTE RENE DUMONT - PROMENADE DE LA RUE DU SAHEL,PARIS 12EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.402205289443234, 48.841005862551526]], ""type"": ""MultiPoint""}","48.841005862551526, 2.402205289443234"
TOILETTES,BOIS DE VINCENNES - PARC FLORAL DE PARIS - CHATEAU,PARIS 12EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.4407682089981737, 48.83992843351192]], ""type"": ""MultiPoint""}","48.83992843351192, 2.4407682089981737"
TOILETTES,SQUARE DES DEUX NETHES,PARIS 18EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.327515105424676, 48.885658542356424]], ""type"": ""MultiPoint""}","48.885658542356424, 2.327515105424676"
SANISETTE,face au 231 RUE RAYMOND LOSSERAND,PARIS 14EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3056540427590466, 48.827944503703414]], ""type"": ""MultiPoint""}","48.827944503703414, 2.3056540427590466"
SANISETTE,6  BOULEVARD PASTEUR,PARIS 15EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3110142464027987, 48.844736497080476]], ""type"": ""MultiPoint""}","48.844736497080476, 2.3110142464027987"
SANISETTE,QUAI BRANLY,PARIS 15EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.2898684016959394, 48.85553274383495]], ""type"": ""MultiPoint""}","48.85553274383495, 2.2898684016959394"
SANISETTE,101  BOULEVARD DE MONTMORENCY,PARIS 16EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.2605336150733986, 48.848331615372416]], ""type"": ""MultiPoint""}","48.848331615372416, 2.2605336150733986"
SANISETTE,9  QUAI LOUIS BLERIOT,PARIS 16EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.2778909899783444, 48.85083039519225]], ""type"": ""MultiPoint""}","48.85083039519225, 2.2778909899783444"
SANISETTE,face au 2 AVENUE DE WAGRAM,PARIS 17EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.2956974316517043, 48.87494771234442]], ""type"": ""MultiPoint""}","48.87494771234442, 2.2956974316517043"
SANISETTE,face au 10 BOULEVARD DES BATIGNOLLES,PARIS 17EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.32631183007512, 48.88334503192715]], ""type"": ""MultiPoint""}","48.88334503192715, 2.32631183007512"
SANISETTE,15  AVENUE DE LA PORTE DE CLIGNANCOURT,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3439636952467713, 48.899194260140085]], ""type"": ""MultiPoint""}","48.899194260140085, 2.3439636952467713"
