Type Objet,Commune,geo_shape,geo,Adresse
BORNE_FONTAINE,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.406058144587103, 48.847344001336964], ""type"": ""Point""}","48.847344001336964, 2.406058144587103",80F  COURS DE VINCENNES
FONTAINE_2EN1,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.400335192859108, 48.86410634144699], ""type"": ""Point""}","48.86410634144699, 2.400335192859108",6F  PLACE EMILE LANDRIN
FONTAINE_ARCEAU,PARIS 2EME ARRONDISSEMENT,"{""coordinates"": [2.345972250830021, 48.86474285287837], ""type"": ""Point""}","48.86474285287837, 2.345972250830021",60 RUE TIQUETONNE
FONTAINE_ARCEAU,PARIS 11EME ARRONDISSEMENT,"{""coordinates"": [2.3703489691991453, 48.85351841071337], ""type"": ""Point""}","48.85351841071337, 2.3703489691991453",6F  RUE DE LA ROQUETTE
FONTAINE_BOIS,PARIS 12EME ARRONDISSEMENT,"{""coordinates"": [2.4418003364380603, 48.84486597992987], ""type"": ""Point""}","48.84486597992987, 2.4418003364380603",ROUTE DE LA DAME BLANCHE
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3601747086903515, 48.884628526701384], ""type"": ""Point""}","48.884628526701384, 2.3601747086903515",SQUARE LOUISE DE MARILLAC
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.4114329469422393, 48.87275259424578], ""type"": ""Point""}","48.87275259424578, 2.4114329469422393",5 RUE DE NOISY LE SEC
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.383339890643229, 48.87206735792698], ""type"": ""Point""}","48.87206735792698, 2.383339890643229",PARC DE BELLEVILLE
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.3485989042373907, 48.83214203536022], ""type"": ""Point""}","48.83214203536022, 2.3485989042373907",57F RUE DE CROULEBARBE
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.3735096548391774, 48.835837141100754], ""type"": ""Point""}","48.835837141100754, 2.3735096548391774",JARDIN JAMES JOYCE
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.3064289088507355, 48.86266040555054], ""type"": ""Point""}","48.86266040555054, 2.3064289088507355",FACE 65 QUAI D ORSAY
FONTAINE_BOIS,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.324490640796506, 48.85261960736377], ""type"": ""Point""}","48.85261960736377, 2.324490640796506",SQUARE DES MISSIONS ETRANGERES
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.375976146024523, 48.82174490412282], ""type"": ""Point""}","48.82174490412282, 2.375976146024523",14  AVENUE BOUTROUX
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.362733407767958, 48.82000930344658], ""type"": ""Point""}","48.82000930344658, 2.362733407767958",43 RUE GANDON
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.244899832383492, 48.86875362731315], ""type"": ""Point""}","48.86875362731315, 2.244899832383492",PARC DE BAGATELLE
FONTAINE_BOIS,PARIS 13EME ARRONDISSEMENT,"{""coordinates"": [2.380380511401476, 48.82936973111645], ""type"": ""Point""}","48.82936973111645, 2.380380511401476",15 RUE THOMAS MANN
