Geo Point;Geo Shape;osm_id;type;name;operator;brand;opening_hours;wheelchair;cuisine;vegetarian;vegan;delivery;takeaway;internet_access;stars;capacity;drive_through;phone;website;facebook;smoking;commune;osm_edit;latitude;longitude
48.86414369972602, 2.3438575;"{""coordinates"": [2.3438575, 48.86414369972602], ""type"": ""Point""}";node/9760625643;bar;Fada;Unknown;Unknown;"Tu 17:00-23:59; We-Sa 00:00-02:00, 17:00-23:59; Su 00:00-02:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=9760625643;48.86414369972602;2.3438575
48.824338699735875, 2.3286665;"{""coordinates"": [2.3286665, 48.824338699735875], ""type"": ""Point""}";node/2273112667;fast_food;Veni Vici;Unknown;Unknown;;yes;steak_house,burger;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=2273112667;48.82433869973588;2.3286665
48.88670909972041, 2.3411218;"{""coordinates"": [2.3411218, 48.88670909972041], ""type"": ""Point""}";node/3229495400;bar;La Bohème Montmartre;Unknown;Unknown;Mo-Su 00:00-02:00, 07:00-23:59;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=3229495400;48.88670909972041;2.3411218
48.82406269973596, 2.3308903;"{""coordinates"": [2.3308903, 48.82406269973596], ""type"": ""Point""}";node/2273059038;cafe;Le XIVème;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=2273059038;48.82406269973596;2.3308903
48.826303699735384, 2.3813084;"{""coordinates"": [2.3813084, 48.826303699735384], ""type"": ""Point""}";node/7958842452;fast_food;Chocco' La;Unknown;Unknown;"Mo-Fr 08:00-21:00; Sa-Su 11:30-20:00";yes;crepe;Unknown;Unknown;Unknown;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=7958842452;48.82630369973538;2.3813084
48.830981099734245, 2.3172117;"{""coordinates"": [2.3172117, 48.830981099734245], ""type"": ""Point""}";node/2197417205;bar;Le Bardinet;Unknown;Unknown;"Mo-Sa 07:00-20:00; Su 07:00-14:00";yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=2197417205;48.830981099734245;2.3172117
48.86393909972606, 2.3482262;"{""coordinates"": [2.3482262, 48.86393909972606], ""type"": ""Point""}";node/11522783051;restaurant;Donuts moov;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;no;Paris;https://www.openstreetmap.org/edit?node=11522783051;48.86393909972606;2.3482262
48.862557499726414, 2.347952;"{""coordinates"": [2.347952, 48.862557499726414], ""type"": ""Point""}";node/3759491976;ice_cream;Belgian WIC;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;outside;Paris;https://www.openstreetmap.org/edit?node=3759491976;48.862557499726414;2.347952
48.85296709972878, 2.2756181;"{""coordinates"": [2.2756181, 48.85296709972878], ""type"": ""Point""}";node/6375893705;restaurant;Akita 16;Unknown;Unknown;Mo-Sa 11:00-22:30;yes;asian;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;+33 1 45 27 32 11;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=6375893705;48.85296709972878;2.2756181
48.87288889972384, 2.3239709;"{""coordinates"": [2.3239709, 48.87288889972384], ""type"": ""Point""}";node/6105973639;bar;Royal au Bar;Unknown;Unknown;;yes;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Paris;https://www.openstreetmap.org/edit?node=6105973639;48.87288889972384;2.3239709
