poi_name;poi_geo;description_fr;sportsolympiquesencompetition_fr;urlredirection_fr;latitude;longitude
Pont Alexandre III - Tribune A et Tribunes C à H;48.8630387,2.3132756;Au cœur de Paris, faisant le lien entre les Invalides et le Grand Palais, des tribunes sont installées temporairement à proximité du Pont Alexandre III pour les arrivées et départ de plusieurs compétitions.;Cyclisme sur route - Contre-la-montre (Arrivée),Natation marathon,Triathlon;https://olympics.com/fr/paris-2024/sites/pont-alexandre-iii;48.8630387;2.3132756
Parc des Princes - Portes I et H;48.84222074,2.253640327;Situé au sud-ouest de Paris (16e). Grand stade accueillant des matchs, des grandes compétitions de football et rugby, et des concerts.;Football;https://olympics.com/fr/paris-2024/sites/parc-des-princes;48.84222074;2.253640327
Arena Paris Sud Hall 6;48.829381,2.290865;Fait partie de Paris Expo Porte de Versailles, centre d’exposition et de convention, située au Sud de Paris (15e). Il accueille tout au long de l’année des salons, foires et conventions.;Handball (Phases préliminaires),Tennis de table,Haltérophilie;https://olympics.com/fr/paris-2024/sites/arena-paris-sud;48.829381;2.290865
Trocadéro - Parc des Champions;48.86134724,2.289678666;Un cadre exceptionnel pour venir vibrer entre amis ou en famille, et féliciter les meilleurs athlètes du monde entier qui viendront présenter leur médaille après leur compétition.;;https://olympics.com/fr/paris-2024/les-jeux/celebration/parc-des-champions;48.86134724;2.289678666
Clichy-sous-Bois - Para Cyclisme;48.90732105,2.551753103;La ville de Clichy-sous-Bois, en Seine-Saint-Denis, accueillera le départ et l’arrivée du para cyclisme du 4 au 7 septembre 2024. L’épreuve de Para cyclisme effectuera une boucle partant et arrivant à Clichy-sous-Bois.;;https://olympics.com/fr/paris-2024/jeux-paralympiques/sites/clichy-sous-bois-paralympiques;48.90732105;2.551753103
La Concorde;48.86581,2.3205108;La Place de la Concorde se transformera lors des Jeux Olympiques en une scène ouverte afin que les sports urbains puissent s'épanouir dans leur milieu naturel.;Skateboard,Cyclisme BMX freestyle,Basketball 3×3,Breaking;https://olympics.com/fr/paris-2024/sites/la-concorde;48.86581;2.3205108
La Courneuve - Parc Georges Valbon;48.9409739,2.406238669;Pendant les Jeux Paralympiques, le départ du Para marathon sera donné depuis La Courneuve au cœur du poumon vert de la Seine-Saint-Denis, le Parc Georges Valbon.;;https://olympics.com/fr/paris-2024/jeux-paralympiques/sites/la-courneuve-paralympiques;48.9409739;2.406238669
Stade Roland-Garros;48.84717,2.2492;Situé au sud-ouest de Paris (16e), à proximité du Parc des Princes. Roland-Garros abrite chaque année l’un des quatre tournois du Grand Chelem, événement sportif mondial majeur de tennis.;Boxe (Finales),Tennis;https://olympics.com/fr/paris-2024/sites/stade-roland-garros;48.84717;2.2492
Vélodrome National de Saint-Quentin-en-Yvelines;48.78800979,2.03498269;Situé à une 40aine de km au sud-ouest de Paris, à proximité du Stade BMX. Cet équipement accueille fréquemment les diverses équipes de France ainsi que des championnats  dans ses installations ultra-modernes.;Cyclisme sur piste;https://olympics.com/fr/paris-2024/sites/velodrome-national-de-saint-quentin-en-yvelines;48.78800979;2.03498269
Stade BMX de Saint-Quentin-en-Yvelines;48.78635777,2.034262969;Situé à proximité du vélodrome national de Saint-Quentin-En-Yvelines, à une 40aine de km au sud-ouest de Paris. La piste de BMX a été re-designée et spécialement aménagée pour Paris 2024.;Cyclisme BMX Racing;https://olympics.com/fr/paris-2024/sites/stade-bmx-de-saint-quentin-en-yvelines;48.78635777;2.034262969
Stade Tour Eiffel;48.85611,2.29796;Pour accueillir les épreuves de volleyball de plage et de cécifoot, le Stade Tour Eiffel transformera le Champ-de-Mars en une arène temporaire en plein-air.;Volleyball de plage;https://olympics.com/fr/paris-2024/sites/stade-tour-eiffel;48.85611;2.29796
Pont Alexandre III - Tribune B;48.8644241,2.3121896;Au cœur de Paris, faisant le lien entre les Invalides et le Grand Palais, des tribunes sont installées temporairement à proximité du Pont Alexandre III pour les arrivées et départ de plusieurs compétitions.;Cyclisme sur route - Contre-la-montre (Arrivée),Natation marathon,Triathlon;https://olympics.com/fr/paris-2024/sites/pont-alexandre-iii;48.8644241;2.3121896
Arena Champ-de-Mars;48.85339,2.30237;Aussi connu sous le nom de Grand Palais Éphémère. Bâtiment provisoire, situé dans le 7e arrondissement de Paris, il accueille les événements le temps des travaux du Grand Palais.;Lutte,Judo;https://olympics.com/fr/paris-2024/sites/arena-champ-de-mars/;48.85339;2.30237
Arena Porte de La Chapelle;48.89932,2.36045;Aussi connu sous le nom de Adidas Arena. Tout nouveau pôle culturel au Nord de Paris (18e) qui accueillera au quotidien événements culturels et sportifs.;Badminton,Gymnastique Rythmique;https://olympics.com/fr/paris-2024/sites/arena-porte-de-la-chapelle;48.89932;2.36045
Parc des Princes - Portes N à P;48.84081174,2.252303273;Situé au sud-ouest de Paris (16e). Grand stade accueillant des matchs, des grandes compétitions de football et rugby, et des concerts.;Football;https://olympics.com/fr/paris-2024/sites/parc-des-princes;48.84081174;2.252303273
Parc des Princes - Portes J à M;48.84179389,2.252282293;Situé au sud-ouest de Paris (16e). Grand stade accueillant des matchs, des grandes compétitions de football et rugby, et des concerts.;Football;https://olympics.com/fr/paris-2024/sites/parc-des-princes;48.84179389;2.252282293
Arena Paris Sud Hall 1;48.832968,2.2840069;Fait partie de Paris Expo Porte de Versailles, centre d’exposition et de convention, située au Sud de Paris (15e). Il accueille tout au long de l’année des salons, foires et conventions.;Volleyball;https://olympics.com/fr/paris-2024/sites/arena-paris-sud;48.832968;2.2840069
Château de Versailles;48.81444,2.08382;Situé à une 20aine de km au sud-ouest de Paris. En plein cœur du parc du Château de Versailles, une carrière temporaire avec des tribunes est installée pour accueillir les épreuves équestres.;Sport équestre - Saut d'obstacles,Sport équestre - Dressage,Sport équestre - Concours complet,Pentathlon moderne;https://olympics.com/fr/paris-2024/sites/chateau-de-versailles;48.81444;2.08382
Stade Nautique de Vaires-sur-Marne - Bassin Eaux Vives;48.86307312,2.639917099;Situé sur l’île de loisirs de Vaires-Torcy à une 30aine de km à l'est de Paris. Ce pôle sportif comprend un lac, un nouveau stade d’eau vive et le plateau vif.;Canoë Slalom;https://olympics.com/fr/paris-2024/sites/stade-nautique-de-vaires-sur-marne;48.86307312;2.639917099
