Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne;latitude;longitude
48.93344984077206,2.3070896535270236;"{""coordinates"": [2.307089653527024, 48.93344984077206], ""type"": ""Point""}";Gennevilliers;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.93344984077206;2.307089653527024
48.93526614581904,2.3478624077555326;"{""coordinates"": [2.347862407755533, 48.93526614581904], ""type"": ""Point""}";Saint-Denis;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;48.93526614581904;2.347862407755533
48.90131105604062,2.213302314596661;"{""coordinates"": [2.213302314596661, 48.90131105604062], ""type"": ""Point""}";Nanterre-Université;TRAIN L;L;TRAIN;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270;48.90131105604062;2.213302314596661
48.84109405724891,2.287945766487378;"{""coordinates"": [2.287945766487378, 48.84109405724891], ""type"": ""Point""}";Boucicaut;METRO 8;8;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;48.84109405724891;2.287945766487378
48.86865415183625,2.3413760511435733;"{""coordinates"": [2.341376051143573, 48.86865415183625], ""type"": ""Point""}";Bourse;METRO 3;3;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;48.86865415183625;2.3413760511435733
48.856140711155,2.370209339755372;"{""coordinates"": [2.370209339755372, 48.856140711155], ""type"": ""Point""}";Bréguet-Sabin;METRO 5;5;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;48.856140711155;2.370209339755372
48.85394260621378,2.2893345327788075;"{""coordinates"": [2.289334532778807, 48.85394260621378], ""type"": ""Point""}";Bir-Hakeim;METRO 6;6;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;48.85394260621378;2.2893345327788075
48.87533684211653,2.2901275088247015;"{""coordinates"": [2.290127508824702, 48.87533684211653], ""type"": ""Point""}";Argentine;METRO 1;1;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4;48.87533684211653;2.290127508824701
48.90378388105197,2.392221222535117;"{""coordinates"": [2.392221222535117, 48.90378388105197], ""type"": ""Point""}";Aubervilliers Pantin - Quatre Chemins;METRO 7;7;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;48.90378388105197;2.392221222535117
48.83954964556868,2.3957032894363937;"{""coordinates"": [2.395703289436394, 48.83954964556868], ""type"": ""Point""}";Daumesnil;METRO 6;6;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;48.83954964556868;2.3957032894363937
